model,capas,nodos,learning rate,epochs,alpha,accuracy
75,5,"[15, 80, 40, 10, 3]",0.01,300,1e-05,0.8615127919911012
76,5,"[15, 80, 40, 10, 3]",0.01,300,0.01,0.8170189098998888
77,5,"[15, 80, 40, 10, 3]",0.01,400,1e-05,0.8615127919911012
78,5,"[15, 80, 40, 10, 3]",0.01,400,0.01,0.8170189098998888
79,5,"[15, 80, 40, 10, 3]",0.001,200,1e-05,0.8175750834260289
80,5,"[15, 80, 40, 10, 3]",0.001,200,0.01,0.8231368186874305
81,5,"[15, 80, 40, 10, 3]",0.001,300,1e-05,0.8175750834260289
82,5,"[15, 80, 40, 10, 3]",0.001,300,0.01,0.8231368186874305
83,5,"[15, 80, 40, 10, 3]",0.001,400,1e-05,0.8175750834260289
84,5,"[15, 80, 40, 10, 3]",0.001,400,0.01,0.8231368186874305
85,5,"[15, 80, 40, 10, 3]",0.0001,200,1e-05,0.8125695216907676
86,5,"[15, 80, 40, 10, 3]",0.0001,200,0.01,0.8153503893214683
87,5,"[15, 80, 40, 10, 3]",0.0001,300,1e-05,0.8220244716351501
88,5,"[15, 80, 40, 10, 3]",0.0001,300,0.01,0.8242491657397107
89,5,"[15, 80, 40, 10, 3]",0.0001,400,1e-05,0.824805339265851
90,5,"[15, 80, 40, 10, 3]",0.0001,400,0.01,0.82146829810901
